Relatório de campanha;;;;;;;;;;;;;;;;;;;;;;;;;;
1 de Janeiro de 2022 - 27 de Junho de 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Dia;Status da campanha;Campanha;Nome do orçamento;Código da moeda;Orçamento;Tipo de orçamento;Status;Motivos do status;Tipo de campanha;Pontuação de otimização;Impr.;Conversões;Custo / conv.;Custo;Taxa de conv.;Custo médio;Interações;Taxa de interação;Tipo de estratégia de lances;Cliques;CTR;Engajamentos;Visualizações;Ligações telefônicas;Impr. chamadas;PTR (taxa de chamadas)
17/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;7.091;205;0,46;94,22;41,75%;0,19;491;6,92%;CPA desejado;302;4,26%;191;109;0;0; --
24/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;7.947;208;0,46;96,2;19,40%;0,09;1.072;13,49%;CPA desejado;281;3,54%;793;497;0;0; --
27/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;8.184;235;0,41;95,94;23,13%;0,09;1.016;12,41%;CPA desejado;293;3,58%;725;481;0;0; --
02/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;18.473;443;0,34;149,21;20,21%;0,07;2.192;11,87%;CPA desejado;656;3,55%;1.548;1.001;0;0; --
14/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;14.275;351;0,38;135,03;38,87%;0,15;903;6,33%;CPA desejado;504;3,53%;401;265;0;0; --
16/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.380;400;0,43;172,41;29,65%;0,13;1.349;8,77%;CPA desejado;568;3,69%;785;552;0;0; --
19/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.373;412;0,41;167,11;24,31%;0,1;1.695;13,70%;CPA desejado;506;4,09%;1.197;822;0;0; --
24/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;27.354;275;0,6;164,05;11,46%;0,07;2.400;8,77%;CPA desejado;432;1,58%;1.988;1.169;0;0; --
26/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.639;337;0,56;187,94;14,92%;0,08;2.258;19,40%;CPA desejado;369;3,17%;1.897;1.213;0;0; --
18/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;10.765;366;0,28;101,42;22,21%;0,06;1.648;15,31%;CPA desejado;486;4,51%;1.170;776;0;0; --
08/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.256;598;0,25;146,7;69,05%;0,17;866;5,33%;CPA desejado;860;5,29%;6;3;0;0; --
09/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.252;345;0,3;103,69;62,73%;0,19;550;4,49%;CPA desejado;544;4,44%;6;5;0;0; --
12/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.830;344;0,27;91,37;65,28%;0,17;527;4,45%;CPA desejado;522;4,41%;5;3;0;0; --
14/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.292;555;0,26;145,78;59,61%;0,16;931;5,71%;CPA desejado;809;4,97%;122;90;0;0; --
16/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.801;388;0,23;89,65;56,40%;0,13;688;5,83%;CPA desejado;580;4,91%;109;77;0;0; --
20/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;20.007;703;0,27;188,03;24,00%;0,06;2.929;14,64%;CPA desejado;989;4,94%;1.956;1.281;0;0; --
30/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;17.675;531;0,25;134,93;47,45%;0,12;1.119;6,33%;CPA desejado;800;4,53%;325;231;0;0; --
19/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;19.314;921;0,29;270,42;31,58%;0,09;2.916;15,10%;CPA desejado;1.187;6,15%;1.733;1.198;0;0; --
24/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.614;807;0,26;209,22;59,87%;0,16;1.348;8,11%;CPA desejado;1.123;6,76%;225;155;0;0; --
25/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.503;635;0,26;164,76;47,46%;0,12;1.338;8,63%;CPA desejado;873;5,63%;466;324;0;0; --
06/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
14/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;6.732;213;0,44;93,97;62,65%;0,28;340;5,05%;CPA desejado;316;4,69%;24;14;0;0; --
18/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;6.137;205;0,46;94,06;25,43%;0,12;806;13,13%;CPA desejado;267;4,35%;543;365;0;0; --
26/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;8.453;193;0,5;95,96;16,99%;0,08;1.136;13,44%;CPA desejado;273;3,23%;865;533;0;0; --
29/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
03/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
09/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
16/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;9.332;220;0,76;167,31;26,54%;0,2;829;8,88%;CPA desejado;306;3,28%;528;284;0;0; --
19/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;10.211;298;0,53;156,54;25,98%;0,14;1.147;11,23%;CPA desejado;367;3,59%;781;520;0;0; --
21/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.081;340;0,41;138,45;35,60%;0,14;955;7,30%;CPA desejado;501;3,83%;457;310;0;0; --
27/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;9.970;386;0,42;162,95;31,46%;0,13;1.227;12,31%;CPA desejado;495;4,96%;734;479;0;0; --
01/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;17.330;554;0,31;172,64;33,07%;0,1;1.675;9,67%;CPA desejado;776;4,48%;903;604;0;0; --
03/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;19.501;399;0,41;162,51;17,99%;0,07;2.218;11,37%;CPA desejado;608;3,12%;1.622;980;0;0; --
04/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;17.744;447;0,35;154,28;28,10%;0,1;1.591;8,97%;CPA desejado;592;3,34%;1.006;602;0;0; --
17/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.726;421;0,41;174,27;27,06%;0,11;1.556;9,89%;CPA desejado;597;3,80%;960;654;0;0; --
30/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.051;320;0,26;81,79;64,65%;0,17;495;4,48%;CPA desejado;490;4,43%;5;4;0;0; --
21/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;25.622;846;0,29;244,42;19,76%;0,06;4.281;16,71%;CPA desejado;1.110;4,33%;3.196;2.142;0;0; --
27/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;22.155;623;0,28;173,26;25,55%;0,07;2.438;11,00%;CPA desejado;878;3,96%;1.571;1.072;0;0; --
01/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;17.519;546;0,32;172,85;22,47%;0,07;2.430;13,87%;CPA desejado;772;4,41%;1.673;1.176;0;0; --
13/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;14.318;546;0,27;145,63;31,60%;0,08;1.728;12,07%;CPA desejado;754;5,27%;978;696;0;0; --
18/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;19.845;693;0,28;192,02;21,04%;0,06;3.294;16,60%;CPA desejado;906;4,57%;2.398;1.710;0;0; --
20/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.295;464;0,28;130,99;33,21%;0,09;1.397;10,51%;CPA desejado;673;5,06%;724;512;0;0; --
27/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.347;529;0,3;158,12;51,11%;0,15;1.035;6,74%;CPA desejado;781;5,09%;257;150;0;0; --
20/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;7.573;227;0,42;95,73;36,50%;0,15;622;8,21%;CPA desejado;311;4,11%;314;208;0;0; --
21/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;8.930;245;0,38;93,45;53,15%;0,2;461;5,16%;CPA desejado;349;3,91%;112;68;0;0; --
13/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;6.536;164;1,03;168,86;27,47%;0,28;597;9,13%;CPA desejado;243;3,72%;361;195;0;0; --
15/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;8.728;193;0,87;167,16;26,88%;0,23;718;8,23%;CPA desejado;289;3,31%;442;253;0;0; --
18/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;10.632;294;0,53;156,59;25,32%;0,13;1.161;10,92%;CPA desejado;368;3,46%;797;530;0;0; --
08/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;9.639;307;0,53;161,87;20,56%;0,11;1.493;15,49%;CPA desejado;386;4,00%;1.120;715;0;0; --
12/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;26.481;585;0,54;318,55;15,16%;0,08;3.859;14,57%;CPA desejado;712;2,69%;3.187;1.823;0;0; --
04/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
11/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;6.818;183;0,54;98,48;41,03%;0,22;446;6,54%;CPA desejado;267;3,92%;180;114;0;0; --
15/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;6.210;216;0,44;93,98;67,08%;0,29;322;5,19%;CPA desejado;304;4,90%;18;11;0;0; --
23/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;7.041;203;0,46;93,49;22,51%;0,1;902;12,81%;CPA desejado;300;4,26%;610;400;0;0; --
25/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;8.324;203;0,46;93,87;17,02%;0,08;1.193;14,33%;CPA desejado;257;3,09%;939;594;0;0; --
28/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;1.637;31;0,44;13,71;22,30%;0,1;139;8,49%;CPA desejado;45;2,75%;95;63;0;0; --
31/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
06/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
07/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;19.794;43;4,07;174,99;2,87%;0,12;1.500;7,58%;CPA desejado;426;2,15%;1.139;446;0;0; --
11/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;5.497;62;2,58;159,77;16,99%;0,44;365;6,64%;CPA desejado;124;2,26%;253;134;0;0; --
07/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
10/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.310;346;0,7;240,67;14,09%;0,1;2.455;15,05%;CPA desejado;436;2,67%;2.033;1.157;0;0; --
11/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;26.439;464;0,69;319,48;16,26%;0,11;2.853;10,79%;CPA desejado;654;2,47%;2.216;1.189;0;0; --
22/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.722;205;0,51;104,46;14,06%;0,07;1.458;8,72%;CPA desejado;335;2,00%;1.126;766;0;0; --
23/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;22.334;257;0,57;147,28;13,84%;0,08;1.857;8,31%;CPA desejado;410;1,84%;1.452;977;0;0; --
07/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.010;411;0,39;162,14;60,35%;0,24;681;5,23%;CPA desejado;600;4,61%;81;55;0;0; --
17/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;14.037;534;0,29;153,68;25,40%;0,07;2.102;14,97%;CPA desejado;702;5,00%;1.407;936;0;0; --
05/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.293;329;0,29;94,74;64,51%;0,19;510;4,52%;CPA desejado;502;4,45%;8;8;0;0; --
10/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.624;365;0,25;90,11;69,92%;0,17;522;4,49%;CPA desejado;521;4,48%;1;0;0;0; --
15/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.490;635;0,28;174,89;59,91%;0,16;1.060;6,43%;CPA desejado;897;5,44%;163;121;0;0; --
03/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;17.699;715;0,25;178,32;25,61%;0,06;2.792;15,77%;CPA desejado;962;5,44%;1.836;1.338;0;0; --
16/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.769;684;0,26;176,01;56,07%;0,14;1.220;7,28%;CPA desejado;966;5,76%;259;190;0;0; --
17/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;14.940;502;0,24;121,96;37,46%;0,09;1.340;8,97%;CPA desejado;713;4,77%;629;445;0;0; --
10/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;5.117;110;0,9;99,19;32,74%;0,3;336;6,57%;CPA desejado;187;3,65%;151;90;0;0; --
16/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;6.463;229;0,41;93,56;65,24%;0,27;351;5,43%;CPA desejado;333;5,15%;18;7;0;0; --
22/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;6.409;208;0,45;92,96;35,62%;0,16;584;9,11%;CPA desejado;288;4,49%;298;190;0;0; --
12/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;7.435;123;1,3;159,63;20,40%;0,26;603;8,11%;CPA desejado;191;2,57%;427;225;0;0; --
14/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.102;164;1,01;165,44;14,75%;0,15;1.112;10,02%;CPA desejado;259;2,33%;866;464;0;0; --
23/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.269;333;0,45;150,26;65,29%;0,29;510;4,16%;CPA desejado;495;4,03%;15;7;0;0; --
09/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;1.054;28;0,55;15,52;16,18%;0,09;173;16,41%;CPA desejado;35;3,32%;138;102;0;0; --
13/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.848;540;0,44;235,12;31,16%;0,14;1.733;10,94%;CPA desejado;719;4,54%;1.021;610;0;0; --
25/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;18.096;389;0,63;246,13;16,03%;0,1;2.426;13,41%;CPA desejado;468;2,59%;1.968;1.227;0;0; --
27/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;10.848;392;0,46;179,44;25,00%;0,11;1.568;14,45%;CPA desejado;474;4,37%;1.102;714;0;0; --
31/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.783;356;0,33;115,88;64,85%;0,21;549;4,29%;CPA desejado;544;4,26%;5;4;0;0; --
02/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.174;464;0,42;193,26;14,83%;0,06;3.128;20,61%;CPA desejado;511;3,37%;2.624;1.744;0;0; --
04/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.113;395;0,33;130,9;23,03%;0,08;1.715;13,08%;CPA desejado;517;3,94%;1.203;790;0;0; --
21/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.555;523;0,31;162,77;63,55%;0,2;823;4,97%;CPA desejado;796;4,81%;28;20;0;0; --
