Relatório de campanha;;;;;;;;;;;;;;;;;;;;;;;;;;
22/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.863;439;0,29;126,62;59,89%;0,17;733;5,29%;CPA desejado;651;4,70%;83;36;0;0; --
23/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.076;514;0,31;157,09;65,48%;0,2;785;5,21%;CPA desejado;721;4,78%;65;15;0;0; --
24/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.554;466;0,33;152,88;59,67%;0,2;781;6,22%;CPA desejado;659;5,25%;122;67;0;0; --
24/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.605;496;0,26;129,25;58,70%;0,15;845;5,09%;CPA desejado;794;4,78%;52;22;0;0; --
31/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.771;590;0,26;154,55;63,51%;0,17;929;5,54%;CPA desejado;874;5,21%;55;33;0;0; --
04/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;20.796;844;0,27;231,1;29,12%;0,08;2.898;13,94%;CPA desejado;1.140;5,48%;1.764;1.218;0;0; --
10/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.762;568;0,26;147,2;42,23%;0,11;1.345;9,77%;CPA desejado;757;5,50%;591;414;0;0; --
12/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;21.697;1.039,00;0,26;270,62;32,88%;0,09;3.160;14,56%;CPA desejado;1.313;6,05%;1.852;1.351;0;0; --
21/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.050;455;0,27;123,61;53,72%;0,15;847;7,03%;CPA desejado;664;5,51%;183;129;0;0; --
22/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.700;474;0,26;123,02;68,30%;0,18;694;5,93%;CPA desejado;676;5,78%;18;14;0;0; --
23/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.000;579;0,25;145,93;61,08%;0,15;948;7,90%;CPA desejado;790;6,58%;159;110;0;0; --
03/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
12/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;7.903;227;0,43;96,94;37,03%;0,16;613;7,76%;CPA desejado;347;4,39%;267;175;0;0; --
29/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;9.999;263;0,2;51,33;51,87%;0,1;507;5,07%;CPA desejado;380;3,80%;128;90;0;0; --
06/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.716;400;0,36;144,34;44,30%;0,16;903;7,10%;CPA desejado;570;4,48%;335;240;0;0; --
08/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;8.662;328;0,39;128,05;30,37%;0,12;1.080;12,47%;CPA desejado;411;4,74%;670;459;0;0; --
09/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;9.556;379;0,34;130,48;24,45%;0,08;1.550;16,22%;CPA desejado;431;4,51%;1.122;741;0;0; --
11/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.574;390;0,29;113,79;29,98%;0,09;1.301;11,24%;CPA desejado;529;4,57%;776;521;0;0; --
14/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.637;541;0,3;159,99;42,60%;0,13;1.270;8,12%;CPA desejado;751;4,80%;521;298;0;0; --
15/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.708;536;0,32;173,24;42,34%;0,14;1.266;9,96%;CPA desejado;710;5,59%;560;308;0;0; --
26/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;10.202;280;0,22;62,67;62,50%;0,14;448;4,39%;CPA desejado;442;4,33%;6;4;0;0; --
30/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.636;609;0,25;149,32;67,52%;0,17;902;5,42%;CPA desejado;866;5,21%;36;25;0;0; --
01/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.933;565;0,26;148,58;66,24%;0,17;853;6,12%;CPA desejado;802;5,76%;51;33;0;0; --
03/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.119;357;0,29;104,88;61,98%;0,18;576;5,18%;CPA desejado;525;4,72%;52;29;0;0; --
06/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.650;443;0,26;117,16;68,15%;0,18;650;4,76%;CPA desejado;644;4,72%;6;5;0;0; --
29/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;23.301;959;0,24;227,03;40,43%;0,1;2.372;10,18%;CPA desejado;1.350;5,79%;1.026;684;0;0; --
06/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;14.628;474;0,34;159,5;22,55%;0,08;2.102;14,37%;CPA desejado;625;4,27%;1.482;1.036;0;0; --
08/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.296;398;0,25;98,98;48,01%;0,12;829;7,34%;CPA desejado;578;5,12%;251;176;0;0; --
14/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.395;445;0,3;133,13;43,67%;0,13;1.019;7,61%;CPA desejado;633;4,73%;387;285;0;0; --
15/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.428;453;0,29;131,86;54,38%;0,16;833;6,70%;CPA desejado;658;5,29%;176;123;0;0; --
05/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
09/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;2.453;23;4,11;94,6;21,50%;0,88;107;4,36%;CPA desejado;68;2,77%;39;17;0;0; --
13/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;7.602;224;0,43;96,53;41,79%;0,18;536;7,05%;CPA desejado;299;3,93%;239;152;0;0; --
19/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;7.981;202;0,48;96,89;22,88%;0,11;883;11,06%;CPA desejado;292;3,66%;594;384;0;0; --
01/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
02/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
18/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.425;390;0,44;172,63;27,20%;0,12;1.434;9,30%;CPA desejado;559;3,62%;882;615;0;0; --
12/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.611;393;0,28;110,13;37,29%;0,1;1.054;9,08%;CPA desejado;532;4,58%;525;339;0;0; --
25/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.533;402;0,33;134,27;61,09%;0,2;658;5,25%;CPA desejado;616;4,92%;42;28;0;0; --
27/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.459;309;0,26;80,15;63,71%;0,17;485;4,23%;CPA desejado;481;4,20%;4;2;0;0; --
28/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.111;344;0,25;84,33;65,52%;0,16;525;4,33%;CPA desejado;523;4,32%;2;2;0;0; --
19/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.979;514;0,28;146,2;40,63%;0,12;1.265;7,45%;CPA desejado;747;4,40%;527;336;0;0; --
09/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.998;443;0,28;124,56;43,56%;0,12;1.017;8,48%;CPA desejado;628;5,23%;390;278;0;0; --
26/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;18.393;858;0,29;245,75;56,15%;0,16;1.528;8,31%;CPA desejado;1.250;6,80%;281;179;0;0; --
04/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
10/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.944;41;4,72;193,51;5,80%;0,27;707;5,07%;CPA desejado;185;1,33%;544;261;0;0; --
05/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;1.506;37;0,28;10,39;25,17%;0,07;147;9,76%;CPA desejado;49;3,25%;99;66;0;0; --
06/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
28/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;8.881;236;0,24;55,99;38,63%;0,09;611;6,88%;CPA desejado;356;4,01%;258;187;0;0; --
01/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.951;508;0,36;182,19;33,18%;0,12;1.531;9,03%;CPA desejado;704;4,15%;830;536;0;0; --
03/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;14.202;505;0,38;192,06;18,50%;0,07;2.730;19,22%;CPA desejado;595;4,19%;2.147;1.403;0;0; --
16/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.950;547;0,26;141,83;25,72%;0,07;2.127;12,55%;CPA desejado;693;4,09%;1.444;942;0;0; --
20/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.524;367;0,28;102,72;48,04%;0,13;764;5,65%;CPA desejado;526;3,89%;240;167;0;0; --
29/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.498;455;0,28;127,13;62,16%;0,17;732;4,72%;CPA desejado;677;4,37%;55;40;0;0; --
13/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.935;435;0,26;111,62;67,23%;0,17;647;5,00%;CPA desejado;640;4,95%;7;2;0;0; --
18/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;14.765;459;0,23;106;56,88%;0,13;807;5,47%;CPA desejado;703;4,76%;104;71;0;0; --
22/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;24.560;995;0,25;245,5;28,97%;0,07;3.435;13,99%;CPA desejado;1.331;5,42%;2.114;1.472;0;0; --
23/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;17.237;475;0,28;131,64;29,38%;0,08;1.617;9,38%;CPA desejado;708;4,11%;912;624;0;0; --
02/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.709;523;0,29;153,55;19,21%;0,06;2.722;16,29%;CPA desejado;729;4,36%;2.004;1.389;0;0; --
05/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;18.768;788;0,29;228,5;27,12%;0,08;2.906;15,48%;CPA desejado;1.025;5,46%;1.890;1.322;0;0; --
01/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
02/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
07/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;5.401;22;4,48;98,55;0,97%;0,04;2.274;42,10%;CPA desejado;95;1,76%;2.240;1.245;0;0; --
08/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;6.908;15;6,63;99,38;3,20%;0,21;469;6,79%;CPA desejado;117;1,69%;369;131;0;0; --
30/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
05/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
08/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.471;22;5,54;121,92;2,50%;0,14;879;6,53%;CPA desejado;188;1,40%;720;381;0;0; --
17/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.349;273;0,58;159,02;26,45%;0,15;1.032;9,09%;CPA desejado;361;3,18%;673;378;0;0; --
20/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;9.933;358;0,44;155,88;36,31%;0,16;986;9,93%;CPA desejado;455;4,58%;533;335;0;0; --
22/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.608;355;0,43;152,64;47,78%;0,21;743;5,89%;CPA desejado;515;4,08%;229;165;0;0; --
24/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;14.409;374;0,45;169,93;58,81%;0,27;636;4,41%;CPA desejado;542;3,76%;99;20;0;0; --
25/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;14.059;398;0,44;173,2;57,85%;0,25;688;4,89%;CPA desejado;551;3,92%;141;31;0;0; --
26/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;10.784;374;0,46;170,3;35,45%;0,16;1.055;9,78%;CPA desejado;507;4,70%;552;356;0;0; --
28/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.332;431;0,31;135,4;44,25%;0,14;974;8,60%;CPA desejado;573;5,06%;403;277;0;0; --
15/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.153;385;0,4;152,7;36,77%;0,15;1.047;6,91%;CPA desejado;577;3,81%;471;309;0;0; --
20/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.351;429;0,39;168,91;26,21%;0,1;1.637;12,26%;CPA desejado;559;4,19%;1.083;694;0;0; --
21/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.436;273;0,42;114,31;20,67%;0,09;1.321;8,56%;CPA desejado;405;2,62%;921;634;0;0; --
05/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.995;409;0,33;136,49;23,85%;0,08;1.715;12,25%;CPA desejado;578;4,13%;1.143;761;0;0; --
10/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;8.956;394;0,33;130,7;28,43%;0,09;1.386;15,48%;CPA desejado;497;5,55%;894;599;0;0; --
13/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.776;365;0,29;106,02;59,16%;0,17;617;5,24%;CPA desejado;535;4,54%;82;56;0;0; --
19/04/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.018;358;0,3;108,44;31,57%;0,1;1.134;9,44%;CPA desejado;517;4,30%;617;429;0;0; --
02/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.857;347;0,3;104,1;56,06%;0,17;619;5,22%;CPA desejado;537;4,53%;82;50;0;0; --
04/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;11.980;342;0,28;94,97;61,73%;0,17;554;4,62%;CPA desejado;531;4,43%;23;12;0;0; --
07/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;15.415;569;0,26;146,31;68,23%;0,18;834;5,41%;CPA desejado;829;5,38%;5;3;0;0; --
11/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;10.951;366;0,28;101,57;68,03%;0,19;538;4,91%;CPA desejado;533;4,87%;5;3;0;0; --
17/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.261;465;0,21;95,91;58,13%;0,12;800;6,03%;CPA desejado;716;5,40%;85;64;0;0; --
25/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;16.020;497;0,24;118,46;50,82%;0,12;978;6,10%;CPA desejado;761;4,75%;220;151;0;0; --
26/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;18.054;515;0,3;152,45;29,82%;0,09;1.727;9,57%;CPA desejado;787;4,36%;948;634;0;0; --
28/05/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;24.525;877;0,25;219,11;29,27%;0,07;2.996;12,22%;CPA desejado;1.187;4,84%;1.817;1.252;0;0; --
07/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;12.690;480;0,27;130,78;28,07%;0,08;1.710;13,48%;CPA desejado;636;5,01%;1.076;780;0;0; --
11/06/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;18.336;723;0,25;177,54;27,67%;0,07;2.613;14,25%;CPA desejado;921;5,02%;1.704;1.208;0;0; --
